,Algorithm,BuiltOn,CoinName,FullName,FullyPremined,Id,ImageUrl,Name,PreMinedValue,ProofType,SmartContractAddress,SortOrder,Sponsored,Symbol,TotalCoinSupply,TotalCoinsFreeFloat,Url
BAC*,N/A,7605,LakeBanker,LakeBanker (BAC*),0,329507,/media/12318229/bac.png,BAC*,N/A,N/A,N/A,1655,False,BAC*,500000000,N/A,/coins/bacstar/overview
BAN,PoS,N/A,Babes and Nerds,Babes and Nerds (BAN),0,43247,/media/1382466/ban.png,BAN,N/A,N/A,N/A,1069,False,BAN,150000000,N/A,/coins/ban/overview
BANCA,N/A,7605,BANCA,BANCA (BANCA),0,757568,/media/27010659/banca.png,BANCA,N/A,N/A,0x998b3b82bc9dba173990be7afb772788b5acb8bd,2236,False,BANCA,20000000000,N/A,/coins/banca/overview
BAR,N/A,7605,TBIS token,TBIS token (BAR),0,354771,/media/14543951/bar.png,BAR,N/A,N/A,0xc7579bb99af590ec71c316e1ac4436c535039594,1749,False,BAR,100000000,N/A,/coins/bar/overview
BAS,N/A,7605,BitAsean,BitAsean (BAS),0,586638,/media/20780613/bas.png,BAS,N/A,N/A,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1,2008,False,BAS,30000000,N/A,/coins/bas/overview
BASH,Scrypt,N/A,LuckChain,LuckChain (BASH),0,33129,/media/352004/bash.png,BASH,N/A,PoW/PoS,N/A,902,False,BASH,1000000000,N/A,/coins/bash/overview
BASHC,Skein,N/A,BashCoin,BashCoin (BASHC),0,791041,/media/27010941/bashc.png,BASHC,N/A,PoW/PoS,N/A,2389,False,BASHC,72000000,N/A,/coins/bashc/overview
BAT,N/A,7605,Basic Attention Token,Basic Attention Token (BAT),0,107672,/media/1383370/bat.png,BAT,N/A,N/A,0x0d8775f648430679a709e98d2b0cb6250d2887ef,1238,False,BAT,1500000000,N/A,/coins/bat/overview
BAX,N/A,7605,BABB,BABB (BAX),1,784595,/media/27010904/bax.jpg,BAX,N/A,N/A,0x38c36d3faab64c0770af26cc6ee95d91312bc53c,2368,False,BAX,50000000000,N/A,/coins/bax/overview
BAY,N/A,N/A,BitBay,BitBay (BAY),0,5300,/media/1383137/bay1.png,BAY,N/A,PoS,N/A,269,False,BAY,N/A,N/A,/coins/bay/overview
BBC,N/A,7605,TraDove,TraDove (BBC),0,856119,/media/30002148/bbc.png,BBC,N/A,N/A,0xe7D3e4413E29ae35B0893140F4500965c74365e5,2598,False,BBC,400000000,N/A,/coins/bbc/overview
BBCC,Scrypt,N/A,BaseballCardCoin,BaseballCardCoin (BBCC),0,29554,/media/351658/bbcc.png,BBCC,N/A,PoW/PoS,N/A,813,False,BBCC,19000000,N/A,/coins/bbcc/overview
BBG,N/A,7605,BigBang,BigBang (BBG),0,926710,/media/35264199/bbg.png,BBG,N/A,N/A,N/A,3562,False,BBG,500000000,N/A,/coins/bbg/overview
BBI,N/A,7605,BelugaPay,BelugaPay (BBI),0,811566,/media/30001684/bbi.png,BBI,N/A,N/A,0x37d40510a2f5bc98aa7a0f7bf4b3453bcfb90ac1,2455,False,BBI,90000000,N/A,/coins/bbi/overview
BBK,Scrypt,N/A,BitBlocks,BitBlocks (BBK),0,863235,/media/30002250/bbk.jpg,BBK,N/A,PoW/PoS,N/A,2640,False,BBK,500000000,N/A,/coins/bbk/overview
BBN,N/A,N/A,BBNCOIN,BBNCOIN (BBN),0,843613,/media/30001968/bbn.jpg,BBN,N/A,PoW,N/A,2535,False,BBN,100000000,N/A,/coins/bbn/overview
BBN*,N/A,7605,Banyan Network,Banyan Network (BBN*),0,847177,/media/30002013/bbn2.jpg,BBN*,N/A,N/A,0x35a69642857083ba2f30bfab735dacc7f0bac969,2549,False,BBN*,1000000000,N/A,/coins/bbnstar/overview
BBO,N/A,7605,Bigbom,Bigbom (BBO),0,921530,/media/34477808/bbo.jpg,BBO,N/A,N/A,0x84f7c44b6fed1080f647e354d552595be2cc602f,3065,False,BBO,1999751536,N/A,/coins/bbo/overview
BBP,Proof-of-BibleHash,N/A,BiblePay,BiblePay (BBP),0,779041,/media/27010855/bbp.png,BBP,N/A,POBh,N/A,2340,False,BBP,5200000000,N/A,/coins/bbp/overview
BBR,X11,N/A,Boolberry,Boolberry (BBR),0,5343,/media/19609/bbr.png,BBR,N/A,PoW,N/A,311,False,BBR,18450000,N/A,/coins/bbr/overview
BBT,N/A,7605,BitBoost,BitBoost (BBT),0,398648,/media/15887410/bbt.png,BBT,N/A,N/A,0x1500205f50bf3fd976466d0662905c9ff254fc9c,1870,False,BBT,100000000,N/A,/coins/bbt/overview
BCA,SHA256,1182,Bitcoin Atom,Bitcoin Atom (BCA),0,767384,/media/27010760/bca-2.jpg,BCA,N/A,PoW/PoS,N/A,2278,False,BCA,21000000,N/A,/coins/bca/overview
BCAP,N/A,7605,Blockchain Capital,Blockchain Capital (BCAP),0,72955,/media/1383948/bcap1.png,BCAP,N/A,N/A,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac,1204,False,BCAP,10000000,N/A,/coins/bcap/overview
BCCOIN,Scrypt,N/A,BitConnect Coin,BitConnect Coin (BCCOIN),0,35165,/media/9350709/bccoin1.png,BCCOIN,N/A,PoW/PoS,N/A,957,False,BCCOIN,28000000,N/A,/coins/bccoin/overview
BCD,X13,N/A,Bitcoin Diamond,Bitcoin Diamond (BCD),0,409492,/media/16404872/bcd.png,BCD,N/A,PoW/PoS,N/A,1895,False,BCD,210000000,N/A,/coins/bcd/overview
BCD*,N/A,7605,BitCAD,BitCAD (BCD*),0,419930,/media/16746454/bcd.png,BCD*,N/A,N/A,0x660b612ec57754d949ac1a09d0c2937a010dee05,1913,False,BCD*,100000000,N/A,/coins/bcdstar/overview
BCDN,N/A,7605,BlockCDN ,BlockCDN  (BCDN),0,732197,/media/27010517/1.png,BCDN,N/A,N/A,0x1e797Ce986C3CFF4472F7D38d5C4aba55DfEFE40,2188,False,BCDN,1000000000,N/A,/coins/bcdn/overview
BCDT,N/A,7605,Blockchain Certified Data Token,Blockchain Certified Data Token (BCDT),0,926186,/media/34835902/bcdt.png,BCDT,N/A,N/A,0xacfa209fb73bf3dd5bbfb1101b9bc999c49062a5,3441,False,BCDT,40835044.388861920562640652,N/A,/coins/bcdt/overview
BCF,Scrypt,N/A,BitcoinFast,BitcoinFast (BCF),0,34854,/media/352189/btf.png,BCF,N/A,PoW/PoS,N/A,953,False,BCF,33000000,N/A,/coins/bcf/overview
BCH,SHA256,N/A,Bitcoin Cash,Bitcoin Cash (BCH),0,202330,/media/1383919/12-bitcoin-cash-square-crop-small-grn.png,BCH,N/A,PoW,N/A,1425,False,BCH,21000000,N/A,/coins/bch/overview
BCHABC,SHA256,N/A,Bitcoin Cash ABC,Bitcoin Cash ABC (BCHABC),0,926580,/media/35264125/bchabc.png,BCHABC,N/A,N/A,N/A,3517,False,BCHABC,N/A,N/A,/coins/bchabc/overview
BCHSV,SHA256,N/A,Bitcoin Cash Satoshi's Vision,Bitcoin Cash Satoshi's Vision (BCHSV),0,926591,/media/35264133/bchsv.png,BCHSV,N/A,N/A,N/A,3519,False,BCHSV,N/A,N/A,/coins/bchsv/overview
BCI,Equihash,N/A,Bitcoin Interest,Bitcoin Interest (BCI),0,855539,/media/30002141/bci.jpg,BCI,N/A,PoW,N/A,2596,False,BCI,22300000,N/A,/coins/bci/overview
BCIO,N/A,7605,Blockchain.io,Blockchain.io (BCIO),0,900439,/media/33752293/blockchainio.png,BCIO,N/A,N/A,N/A,2821,False,BCIO,100000000,N/A,/coins/bcio/overview
BCN,CryptoNight,N/A,ByteCoin,ByteCoin (BCN),0,5280,/media/12318404/bcn.png,BCN,N/A,PoW,N/A,249,False,BCN,184467440735,N/A,/coins/bcn/overview
BCO*,Scrypt,N/A,BridgeCoin,BridgeCoin (BCO),0,422188,/media/16746477/bco.png,BCO,N/A,PoW,N/A,1915,False,BCO*,27000000,N/A,/coins/bco/overview
BCOIN,N/A,7605,BannerCoin,BannerCoin (BCOIN),0,536905,/media/16746742/bcoin.png,BCOIN,N/A,N/A,0xd3e2f9dfff5a6feeece5dbcee3b86cb375fd8c98,1994,False,BCOIN,100000000,N/A,/coins/bcoin/overview
BCPT,N/A,7605,BlockMason Credit Protocol,BlockMason Credit Protocol (BCPT),0,374281,/media/16746476/bcpt.png,BCPT,N/A,N/A,0x1c4481750daa5ff521a2a7490d9981ed46465dbd,1815,False,BCPT,116158667,N/A,/coins/bcpt/overview
BCR,Momentum,N/A,BitCredit,BitCredit (BCR),0,5345,/media/20198/bcr.png,BCR,N/A,PoW,N/A,313,False,BCR,210000000,N/A,/coins/bcr/overview
BCR*,N/A,7605,Bitcoin Royal,Bitcoin Royal (BCR*),1,784396,/media/27010899/bcr.jpg,BCR*,N/A,N/A,0x633a8f8e557702039463f9f2eb20b7936fff8c05,2364,False,BCR*,7200000,N/A,/coins/bcrstar/overview
BCT,N/A,7605,Blockchain Terminal,Blockchain Terminal (BCT),0,810848,/media/30001675/bct.png,BCT,N/A,N/A,N/A,2450,False,BCT,900000000,N/A,/coins/bct/overview
BCX,SHA256,N/A,BattleCoin,BattleCoin (BCX),0,4335,/media/19620/bcx.png,BCX,N/A,PoS,N/A,49,False,BCX,100000000,N/A,/coins/bcx/overview
BCX*,DPoS,N/A,BitcoinX,BitcoinX (BCX*),0,536213,/media/16746738/bcx.png,BCX*,N/A,DPoS,N/A,1991,False,BCX*,210000000000,N/A,/coins/bcxstar/overview
BCY,Counterparty,5292,BitCrystals,BitCrystals (BCY),1,20315,/media/350903/bcy.png,BCY,N/A,N/A,N/A,524,False,BCY,100000000,N/A,/coins/bcy/overview
BDB,N/A,7605,Big Data Block,Big Data Block (BDB),0,924873,/media/34478007/bdb.png,BDB,N/A,N/A,N/A,3167,False,BDB,100000000,N/A,/coins/bdb/overview
BDG,N/A,7605,BitDegree,BitDegree (BDG),0,423754,/media/16746482/bdg.png,BDG,N/A,N/A,0x1961b3331969ed52770751fc718ef530838b6dee,1917,False,BDG,660000000,N/A,/coins/bdg/overview
BDL,Scrypt,N/A,Bitdeal,Bitdeal (BDL),0,374294,/media/14913539/bdl.png,BDL,N/A,PoW,N/A,1816,False,BDL,300000000,N/A,/coins/bdl/overview
BDP,N/A,7605,Bidipass,Bidipass (BDP),0,858205,/media/34478179/bdp.png,BDP,N/A,N/A,N/A,2605,False,BDP,N/A,N/A,/coins/bdp/overview
BDR,N/A,20131,BlueDragon,BlueDragon (BDR),0,372637,/media/14913485/bdr.png,BDR,N/A,N/A,N/A,1805,False,BDR,728121985,N/A,/coins/bdr/overview
BDT,N/A,7605,Blockonix,Blockonix (BDT),0,925698,/media/34478472/bdt.png,BDT,N/A,N/A,0x420335d3deef2d5b87524ff9d0fb441f71ea621f,3365,False,BDT,10092083.35,N/A,/coins/bdt/overview
BEAT,N/A,7605,BEAT Token,BEAT Token (BEAT),0,926112,/media/34835768/beat.png,BEAT,N/A,N/A,0x2fb12bccf6f5dd338b76be784a93ade072425690,3430,False,BEAT,1113575240.777958806884725272,N/A,/coins/beat/overview
BEC,N/A,7605,Beauty Chain,Beauty Chain (BEC),0,925591,/media/34478407/bec.png,BEC,N/A,N/A,0xc5d105e63711398af9bbff092d4b6769c82f793d,3344,False,BEC,7000000000,N/A,/coins/bec/overview
BEE,N/A,7605,Bee Token,Bee Token (BEE),0,764334,/media/27010700/bee.png,BEE,N/A,N/A,0x4d8fc1453a0f359e99c9675954e656d80d996fbf,2258,False,BEE,500000000,N/A,/coins/bee/overview
BELA,N/A,7605,Bela,Bela (BELA),0,21239,/media/34478099/bela.png,BELA,N/A,N/A,0x2e98a6804e4b6c832ed0ca876a943abd3400b224,605,False,BELA,43770505.882540501222034175,N/A,/coins/bela/overview
